COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision
Chinook Salmon,"Lower Fraser, Stream, Summer (Upper Pitt) population",Endangered,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Fraser, Stream, Summer (Upper Pitt) population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Lower Fraser, Stream, Summer population",Threatened,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Fraser, Stream, Summer population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Lower Thompson, Stream, Spring population",Endangered,2020-11-04,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Thompson, Stream, Spring population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Middle Fraser, Stream, Fall population",Endangered,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Middle Fraser, Stream, Fall population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Middle Fraser, Stream, Spring (MFR+GStr) population",Threatened,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Middle Fraser, Stream, Spring (MFR+GStr) population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Middle Fraser, Stream, Spring population",Endangered,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Middle Fraser, Stream, Spring population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Middle Fraser, Stream, Summer population",Threatened,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Middle Fraser, Stream, Summer population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"North Thompson, Stream, Spring population",Endangered,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"North Thompson, Stream, Spring population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"North Thompson, Stream, Summer population",Endangered,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"North Thompson, Stream, Summer population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,Okanagan population,Endangered,2017-04-28,Oncorhynchus tshawytscha,Chinook Salmon,Okanagan population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"South Coast - Georgia Strait, Ocean, Fall population",Data Deficient,2020-11-04,Oncorhynchus tshawytscha,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Chinook Salmon,"South Coast - Southern Fjords, Ocean, Fall population",Data Deficient,2020-11-04,Oncorhynchus tshawytscha,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Chinook Salmon,"South Thompson, Ocean, Summer population",Not at Risk,2018-11-01,Oncorhynchus tshawytscha,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Chinook Salmon,"South Thompson, Stream, Summer 1.2 population",Endangered,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"South Thompson, Stream, Summer 1.2 population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"South Thompson, Stream, Summer 1.3 population",Endangered,2020-11-04,Oncorhynchus tshawytscha,Chinook Salmon,"South Thompson, Stream, Summer 1.3 population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Southern Mainland Boundary Bay, Ocean, Fall population",Threatened,2020-11-04,Oncorhynchus tshawytscha,Chinook Salmon,"Southern Mainland Boundary Bay, Ocean, Fall population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"Southern Mainland, Ocean, Summer population",Data Deficient,2018-11-01,Oncorhynchus tshawytscha,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Chinook Salmon,"Southern Mainland, Stream, Summer population",Data Deficient,2018-11-01,Oncorhynchus tshawytscha,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Chinook Salmon,"Upper Fraser, Stream, Spring population",Endangered,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Upper Fraser, Stream, Spring population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"West Vancouver Island, Ocean, Fall (Nootka & Kyuquot) population",Threatened,2020-11-04,Oncorhynchus tshawytscha,Chinook Salmon,"West Vancouver Island, Ocean, Fall (Nootka & Kyuquot) population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"West Vancouver Island, Ocean, Fall (South) population",Threatened,2020-11-04,Oncorhynchus tshawytscha,Chinook Salmon,"West Vancouver Island, Ocean, Fall (South) population",No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Chinook Salmon,"West Vancouver Island, Ocean, Fall (WVI + WQCI) population",Data Deficient,2020-11-04,Oncorhynchus tshawytscha,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Chiselmouth,,Not at Risk,2003-05-01,Acrocheilus alutaceus,,,No Status,,No schedule,,British Columbia,Fishes (freshwater),,
Cleland’s Evening-primrose,,Endangered,2023-12-01,Oenothera clelandii,Cleland’s Evening-primrose,,No Status,,No schedule,,Ontario,Vascular Plants,Addition,Pending
Cliff Paintbrush,,Threatened,2005-05-05,Castilleja rupicola,Cliff Paintbrush,,Threatened,2006-08-15,Schedule 1,2006-08-15,British Columbia,Vascular Plants,,Added to list
Climbing Prairie Rose,,Special Concern,2003-05-01,Rosa setigera,Climbing Prairie Rose,,Special Concern,2005-01-12,Schedule 1,2005-01-12,Ontario,Vascular Plants,,Added to list
Coast Microseris,,Endangered,2006-04-29,Microseris bigelovii,Coast Microseris,,Endangered,2007-12-13,Schedule 1,2007-12-13,British Columbia,Vascular Plants,,Added to list
Coastal Giant Salamander,,Threatened,2014-05-02,Dicamptodon tenebrosus,Coastal Giant Salamander,,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,Amphibians,,Added to list
Coastal Manroot,,Endangered,2022-12-03,Marah oregana,Coastal Manroot,,No Status,,No schedule,,British Columbia,Vascular Plants,Addition,Pending
Coastal Scouler's Catchfly,,Endangered,2003-05-01,Silene scouleri ssp. grandis,Coastal Scouler's Catchfly,,Endangered,2005-01-12,Schedule 1,2005-01-12,British Columbia,Vascular Plants,,Added to list
Coastal Tailed Frog,,Special Concern,2011-11-25,Ascaphus truei,Coastal Tailed Frog,,Special Concern,2003-06-05,Schedule 1,2003-06-05,British Columbia,Amphibians,,Added to list
Coastal Vesper Sparrow,,Endangered,2018-04-27,Pooecetes gramineus affinis,Coastal Vesper Sparrow,,Endangered,2007-12-13,Schedule 1,2007-12-13,British Columbia,Birds,,Added to list
Coastal Wood Fern,,Special Concern,2021-05-05,Dryopteris arguta,Coastal Wood Fern,,Special Concern,2003-06-05,Schedule 1,2003-06-05,British Columbia,Vascular Plants,,Added to list
Coastrange Sculpin,Cultus Lake population,Endangered,2019-11-29,Cottus aleuticus,Coastrange Sculpin,Cultus population,Threatened,,Schedule 1,2003-06-05,British Columbia,Fishes (freshwater),Status change,Pending
Cobblestone Tiger Beetle,,Special Concern,2021-05-05,Cicindela marginipennis,Cobblestone Tiger Beetle,,Endangered,,Schedule 1,2011-02-04,New Brunswick,Arthropods,Status change,Pending
Coeur d'Alene Salamander,,Special Concern,2021-05-05,Plethodon idahoensis,Coeur d'Alene Salamander,,Special Concern,2003-06-05,Schedule 1,2003-06-05,British Columbia,Amphibians,,Added to list
Coho Salmon,Interior Fraser population,Threatened,2016-11-27,Oncorhynchus kisutch,Coho Salmon,Interior Fraser population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Colicroot,,Endangered,2015-11-26,Aletris farinosa,Colicroot,,Endangered,2019-02-25,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Uplisted: Threatened to endangered
Collared Pika,,Special Concern,2011-11-25,Ochotona collaris,Collared Pika,,Special Concern,2017-02-03,Schedule 1,2017-02-03,"British Columbia, Northwest Territories, Yukon",Mammals (terrestrial),,Added to list
Columbia Dune Moth,,Data Deficient,2017-04-28,Copablepharon absidum,,,No Status,,No schedule,,British Columbia,Arthropods,,
Columbia Quillwort,,Endangered,2019-05-03,Isoetes minima,Columbia Quillwort,,Endangered,2023-02-03,Schedule 1,2023-02-03,British Columbia,Vascular Plants,,Added to list
Columbia Sculpin,,Special Concern,2019-11-29,Cottus hubbsi,Columbia Sculpin,,Special Concern,2003-06-05,Schedule 1,2003-06-05,British Columbia,Fishes (freshwater),,Added to list
Columbia Spotted Frog,,Not at Risk,2000-05-01,Rana luteiventris,,,No Status,,No schedule,,"Alberta, British Columbia, Yukon",Amphibians,,
Columbian Carpet Moss,,Special Concern,2014-11-28,Bryoerythrophyllum columbianum,Columbian Carpet Moss,,Special Concern,2005-07-14,Schedule 1,2005-07-14,British Columbia,Mosses,,Added to list
Common Bottlenose Dolphin,,Not at Risk,1993-04-01,Tursiops truncatus,,,No Status,,No schedule,,Atlantic Ocean,Mammals (marine),,
Common Hoptree,,Special Concern,2015-11-26,Ptelea trifoliata,Common Hoptree,,Special Concern,2019-02-25,Schedule 1,2005-01-12,Ontario,Vascular Plants,,Downlisted: Threatened to special concern
Common Loon,,Not at Risk,1997-04-01,Gavia immer,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,,
Common Minke Whale North Atlantic subspecies,,Not at Risk,2006-04-29,Balaenoptera acutorostrata acutorostrata,,,No Status,,No schedule,,Atlantic Ocean,Mammals (marine),,
Common Minke Whale North Pacific subspecies,,Not at Risk,2006-04-29,Balaenoptera acutorostrata scammonii,,,No Status,,No schedule,,Pacific Ocean,Mammals (marine),,
Common Nighthawk,,Special Concern,2018-04-27,Chordeiles minor,Common Nighthawk,,Special Concern,2023-02-03,Schedule 1,2010-02-23,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,,Downlisted: Threatened to special concern
Common Poorwill,,Data Deficient,1993-04-01,Phalaenoptilus nuttallii,,,No Status,,No schedule,,"Alberta, British Columbia, Saskatchewan",Birds,,
Common Tern,,Not at Risk,1998-04-01,Sterna hirundo,,,No Status,,No schedule,,"Alberta, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan",Birds,,
Contorted-pod Evening-primrose,,Endangered,2006-04-29,Camissonia contorta,Contorted-pod Evening-primrose,,Endangered,2007-12-13,Schedule 1,2007-12-13,British Columbia,Vascular Plants,,Added to list
Cooper's Hawk,,Not at Risk,1996-04-01,Accipiter cooperii,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Quebec, Saskatchewan",Birds,,
Cope's Grey Treefrog,,Not at Risk,1999-04-01,Hyla chrysoscelis,,,No Status,,No schedule,,Manitoba,Amphibians,,
Copper Redhorse,,Endangered,2014-05-02,Moxostoma hubbsi,Copper Redhorse,,Endangered,2007-12-13,Schedule 1,2007-12-13,Quebec,Fishes (freshwater),,Added to list
Cordilleran Sucker,,Threatened,2022-12-03,Pantosteus bondi,Cordilleran Sucker,,No Status,,No schedule,,British Columbia,Fishes (freshwater),Addition,Pending
Cougar,Eastern population,Data Deficient,1998-04-01,Puma concolor couguar,Cougar,Eastern population,,,No schedule,,"New Brunswick, Nova Scotia, Ontario, Quebec",Mammals (terrestrial),,
Crooked-stem Aster,,Special Concern,2012-11-25,Symphyotrichum prenanthoides,Crooked-stem Aster,,Special Concern,2018-02-02,Schedule 1,2005-01-12,Ontario,Vascular Plants,,Downlisted: Threatened to special concern
Crumpled Tarpaper Lichen,,Threatened,2010-11-26,Collema coniophilum,Crumpled Tarpaper Lichen,,Threatened,2017-02-03,Schedule 1,2017-02-03,British Columbia,Lichens,,Added to list
Cryptic Paw Lichen,,Threatened,2019-05-03,Nephroma occultum,Cryptic Paw Lichen,,Special Concern,,Schedule 1,2007-12-13,British Columbia,Lichens,Status change,Pending
Cucumber Tree,,Endangered,2010-04-25,Magnolia acuminata,Cucumber Tree,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Added to list
Cusk,,Endangered,2012-11-25,Brosme brosme,Cusk,,No Status,,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Cutlip Minnow,,Special Concern,2013-11-01,Exoglossum maxillingua,Cutlip Minnow,,Special Concern,2019-08-08,Schedule 1,2019-08-08,"Ontario, Quebec",Fishes (freshwater),,Added to list
Cuvier's Beaked Whale,,Not at Risk,1990-04-01,Ziphius cavirostris,,,No Status,,No schedule,,"Atlantic Ocean, Pacific Ocean",Mammals (marine),,
Dakota Skipper,,Endangered,2014-05-02,Hesperia dacotae,Dakota Skipper,,Endangered,2018-02-02,Schedule 1,2005-07-14,"Manitoba, Saskatchewan",Arthropods,,Uplisted: Threatened to endangered
Dall's Porpoise,,Not at Risk,1989-04-01,Phocoenoides dalli,,,No Status,,No schedule,,Pacific Ocean,Mammals (marine),,
Dalton’s Moss,,Endangered,2019-05-03,Daltonia splachnoides,Dalton’s Moss,,Endangered,2023-02-03,Schedule 1,2023-02-03,British Columbia,Mosses,,Added to list
Dark-banded Flower Gem,,Data Deficient,2005-05-05,Melaporphyria immortua,,,No Status,,No schedule,,"Alberta, Manitoba, Saskatchewan",Arthropods,,
Darkblotched Rockfish,,Special Concern,2009-11-27,Sebastes crameri,Darkblotched Rockfish,,No Status,,No schedule,,Pacific Ocean,Fishes (marine),Addition,Pending
Davis's Shieldback,,Threatened,2020-11-04,Atlanticus davisi,Davis's Shieldback,,No Status,,No schedule,,Ontario,Arthropods,Addition,Pending
Deepwater Cisco,,Extinct,2000-05-01,Coregonus johannae,,,No Status,,No schedule,,Ontario,Fishes (freshwater),,
Deepwater Redfish,Gulf of St. Lawrence - Laurentian Channel population,Endangered,2010-04-25,Sebastes mentella,Deepwater Redfish,Gulf of St. Lawrence - Laurentian Channel population,No Status,,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Deepwater Redfish,Northern population,Threatened,2010-04-25,Sebastes mentella,Deepwater Redfish,Northern population,No Status,,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Deepwater Sculpin,Great Lakes - Upper St. Lawrence populations,Special Concern,2017-04-28,Myoxocephalus thompsonii,Deepwater Sculpin,Great Lakes - Western St. Lawrence populations,Special Concern,2007-12-13,Schedule 1,2007-12-13,"Ontario, Quebec",Fishes (freshwater),,Added to list
Deepwater Sculpin,Great Lakes populations,Non-active,2006-04-29,Myoxocephalus thompsonii,Deepwater Sculpin,Great Lakes populations,,,,,Ontario,Fishes (freshwater),,
Deepwater Sculpin,Saskatchewan - Nelson River populations,Not at Risk,2017-04-28,Myoxocephalus thompsonii,,,No Status,,No schedule,,"Manitoba, Ontario",Fishes (freshwater),,
Deepwater Sculpin,Southern Hudson Bay - James Bay populations,Data Deficient,2017-04-28,Myoxocephalus thompsonii,,,No Status,,No schedule,,Ontario,Fishes (freshwater),,
Deepwater Sculpin,Waterton Lake population,Special Concern,2017-04-28,Myoxocephalus thompsonii,Deepwater Sculpin,Waterton Lake population,No Status,,No schedule,,Alberta,Fishes (freshwater),Addition,Pending
Deepwater Sculpin,Western Arctic populations,Not at Risk,2017-04-28,Myoxocephalus thompsonii,,,No Status,,No schedule,,"Alberta, Northwest Territories, Saskatchewan",Fishes (freshwater),,
Deepwater Sculpin,Western Hudson Bay populations,Not at Risk,2017-04-28,Myoxocephalus thompsonii,,,No Status,,No schedule,,Saskatchewan,Fishes (freshwater),,
Deepwater Sculpin,Western populations,Non-active,2017-04-28,Myoxocephalus thompsonii,,,No Status,,No schedule,,"Alberta, Manitoba, Northwest Territories, Ontario, Saskatchewan",Fishes (freshwater),,
Deerberry,,Threatened,2020-11-04,Vaccinium stamineum,Deerberry,,Threatened,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Added to list
DeKay's Brownsnake,,Not at Risk,2002-05-01,Storeria dekayi,,,No Status,,No schedule,,"Ontario, Quebec",Reptiles,,
Delicate Luster Moss,,Not at Risk,2006-04-29,Isopterygium tenerum,,,No Status,,No schedule,,Nova Scotia,Mosses,,
Deltoid Balsamroot,,Endangered,2009-04-26,Balsamorhiza deltoidea,Deltoid Balsamroot,,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Vascular Plants,,Added to list
Dense Blazing Star,,Threatened,2010-04-25,Liatris spicata,Dense Blazing Star,,Threatened,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Added to list
Dense Draba,,Special Concern,2022-05-11,Draba pycnosperma,Dense Draba,,No Status,,No schedule,,"Newfoundland and Labrador, Quebec",Vascular Plants,Addition,Pending
Dense Spike-primrose,,Endangered,2005-05-05,Epilobium densiflorum,Dense Spike-primrose,,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,Vascular Plants,,Added to list
Dense-flowered Lupine,,Endangered,2005-05-05,Lupinus densiflorus,Dense-flowered Lupine,,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,Vascular Plants,,Added to list
Desert Nightsnake,,Endangered,2011-05-06,Hypsiglena chlorophaea,Desert Nightsnake,,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Reptiles,,Added to list
Dolly Varden,Western Arctic populations,Special Concern,2010-11-26,Salvelinus malma malma,Dolly Varden,Western Arctic populations,Special Concern,2017-04-13,Schedule 1,2017-04-13,"Northwest Territories, Yukon",Fishes (freshwater),,Added to list
Domed Disc,,Endangered,2024-05-09,Discus patulus,Domed Disc,,No Status,,No schedule,,Ontario,Molluscs,Addition,Pending
Double-crested Cormorant,,Not at Risk,1978-04-01,Phalacrocorax auritus,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,,
Downy Yellow False Foxglove,,Endangered,2018-04-27,Aureolaria virginica,Downy Yellow False Foxglove,,Endangered,2023-02-03,Schedule 1,2023-02-03,Ontario,Vascular Plants,,Added to list
Dromedary Jumping-slug,,Threatened,2014-05-02,Hemphillia dromedarius,Dromedary Jumping-slug,,Threatened,2005-01-12,Schedule 1,2005-01-12,British Columbia,Molluscs,,Added to list
Drooping Trillium,,Endangered,2009-04-26,Trillium flexipes,Drooping Trillium,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Added to list
Drooping-leaved Beard-moss,,Endangered,2019-05-03,Oxystegus recurvifolius,Drooping-leaved Beard-moss,,Endangered,2023-02-03,Schedule 1,2023-02-03,British Columbia,Mosses,,Added to list
Dukes' Skipper,,Special Concern,2022-05-11,Euphyes dukesi,Dukes' Skipper,,No Status,,No schedule,,Ontario,Arthropods,Addition,Pending
Dun Skipper vestris subspecies,,Threatened,2013-05-03,Euphyes vestris vestris,Dun Skipper vestris subspecies,,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,Arthropods,,Added to list
Dune Tachinid Fly,,Special Concern,2011-05-06,Germaria angustata,Dune Tachinid Fly,,Special Concern,2017-02-03,Schedule 1,2017-02-03,Yukon,Arthropods,,Added to list
Dusky Dune Moth,,Threatened,2022-05-11,Copablepharon longipenne,Dusky Dune Moth,,Endangered,,Schedule 1,2010-02-23,"Alberta, Manitoba, Saskatchewan",Arthropods,Status change,Pending
Dwarf Fleabane,,Not at Risk,1996-04-01,Erigeron radicatus,,,No Status,,No schedule,,"Alberta, Saskatchewan",Vascular Plants,,
Dwarf Hackberry,,Threatened,2003-11-01,Celtis tenuifolia,Dwarf Hackberry,,Threatened,2005-07-14,Schedule 1,2005-07-14,Ontario,Vascular Plants,,Added to list
Dwarf Hesperochiron,,Endangered,2019-05-03,Hesperochiron pumilus,Dwarf Hesperochiron,,Endangered,2023-02-03,Schedule 1,2023-02-03,British Columbia,Vascular Plants,,Added to list
Dwarf Lake Iris,,Special Concern,2010-11-26,Iris lacustris,Dwarf Lake Iris,,Special Concern,2017-06-02,Schedule 1,2006-08-15,Ontario,Vascular Plants,,Downlisted: Threatened to special concern
Dwarf Sandwort,,Endangered,2004-05-01,Minuartia pusilla,Dwarf Sandwort,,Endangered,2005-07-14,Schedule 1,2005-07-14,British Columbia,Vascular Plants,,Added to list
Dwarf Sperm Whale,,Data Deficient,1997-04-01,Kogia simus,,,No Status,,No schedule,,Pacific Ocean,Mammals (marine),,
Dwarf Wedgemussel,,Extirpated,2021-12-01,Alasmidonta heterodon,Dwarf Wedgemussel,,Extirpated,2003-06-05,Schedule 1,2003-06-05,New Brunswick,Molluscs,,Added to list
Dwarf Woolly-heads,Prairie population,Special Concern,2006-04-29,Psilocarphus brevissimus,Dwarf Woolly-heads,Prairie population,Special Concern,2007-12-13,Schedule 1,2007-12-13,"Alberta, Saskatchewan",Vascular Plants,,Added to list
Dwarf Woolly-heads,Southern Mountain population,Endangered,2006-04-29,Psilocarphus brevissimus,Dwarf Woolly-heads,Southern Mountain population,Endangered,2007-12-13,Schedule 1,2007-12-13,British Columbia,Vascular Plants,,Added to list
Eastern Baccharis,,Threatened,2011-11-25,Baccharis halimifolia,Eastern Baccharis,,Threatened,2017-06-02,Schedule 1,2017-06-02,Nova Scotia,Vascular Plants,,Added to list
Eastern Banded Tigersnail,,Endangered,2017-04-28,Anguispira kochi kochi,Eastern Banded Tigersnail,,Endangered,2021-08-12,Schedule 1,2021-08-12,Ontario,Molluscs,,Added to list
Eastern Bluebird,,Not at Risk,1996-04-01,Sialia sialis,,,No Status,,No schedule,,"Alberta, Manitoba, New Brunswick, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan",Birds,,
Eastern Box Turtle,,Extirpated,2014-11-28,Terrapene carolina,Eastern Box Turtle,,Extirpated,2019-02-25,Schedule 1,2019-02-25,Ontario,Reptiles,,Added to list
Eastern Flowering Dogwood,,Endangered,2007-04-22,Cornus florida,Eastern Flowering Dogwood,,Endangered,2009-03-05,Schedule 1,2009-03-05,Ontario,Vascular Plants,,Added to list
Eastern Foxsnake,,Non-active,2008-04-25,Pantherophis vulpinus,Eastern Foxsnake,,No Status,2010-02-23,No schedule,2003-06-05,Ontario,Reptiles,,Struck - WS reassignment
Eastern Foxsnake,Carolinian population,Threatened,2021-12-01,Pantherophis vulpinus,Eastern Foxsnake,Carolinian population,Endangered,,Schedule 1,2003-06-05,Ontario,Reptiles,Status change,Pending
Eastern Foxsnake,Great Lakes / St. Lawrence population,Threatened,2021-12-01,Pantherophis vulpinus,Eastern Foxsnake,Great Lakes / St. Lawrence population,Endangered,,Schedule 1,2003-06-05,Ontario,Reptiles,Status change,Pending
Eastern Hog-nosed Snake,,Threatened,2021-05-05,Heterodon platirhinos,Eastern Hog-nosed Snake,,Threatened,2003-06-05,Schedule 1,2003-06-05,Ontario,Reptiles,,Added to list
Eastern Lilaeopsis,,Special Concern,2004-05-01,Lilaeopsis chinensis,Eastern Lilaeopsis,,Special Concern,2005-07-14,Schedule 1,2005-07-14,Nova Scotia,Vascular Plants,,Added to list
Eastern Meadowlark,,Threatened,2011-05-06,Sturnella magna,Eastern Meadowlark,,Threatened,2017-11-02,Schedule 1,2017-11-02,"New Brunswick, Nova Scotia, Ontario, Quebec",Birds,,Added to list
Eastern Milksnake,,Special Concern,2014-05-02,Lampropeltis triangulum,Eastern Milksnake,,Special Concern,2005-01-12,Schedule 1,2005-01-12,"Ontario, Quebec",Reptiles,,Added to list
Eastern Mole,,Special Concern,2010-11-26,Scalopus aquaticus,Eastern Mole,,Special Concern,2003-06-05,Schedule 1,2003-06-05,Ontario,Mammals (terrestrial),,Added to list
Eastern Mountain Avens,,Endangered,2010-04-25,Geum peckii,Eastern Mountain Avens,,Endangered,2003-06-05,Schedule 1,2003-06-05,Nova Scotia,Vascular Plants,,Added to list
Eastern Musk Turtle,,Special Concern,2012-11-25,Sternotherus odoratus,Eastern Musk Turtle,,Special Concern,2018-02-02,Schedule 1,2005-01-12,"Ontario, Quebec",Reptiles,,Downlisted: Threatened to special concern
Eastern Painted Turtle,,Special Concern,2018-04-27,Chrysemys picta picta,Eastern Painted Turtle,,Special Concern,2021-04-23,Schedule 1,2021-04-23,"New Brunswick, Nova Scotia, Quebec",Reptiles,,Added to list
Eastern Persius Duskywing,,Endangered,2016-04-29,Erynnis persius persius,Eastern Persius Duskywing,,Endangered,2007-12-13,Schedule 1,2007-12-13,Ontario,Arthropods,,Added to list
Eastern Pondmussel,,Special Concern,2017-04-28,Ligumia nasuta,Eastern Pondmussel,,Special Concern,2019-08-08,Schedule 1,2013-03-08,Ontario,Molluscs,,Downlisted: Endangered to special concern
Eastern Prairie Fringed Orchid,,Endangered,2003-05-01,Platanthera leucophaea,Eastern Prairie Fringed Orchid,,Endangered,2005-01-12,Schedule 1,2005-01-12,Ontario,Vascular Plants,,Added to list
Eastern Prickly Pear Cactus,,Endangered,2010-04-25,Opuntia humifusa,Eastern Prickly Pear Cactus,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Added to list
Eastern Red Bat,,Endangered,2023-05-05,Lasiurus borealis,Eastern Red Bat,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Mammals (terrestrial),Addition,Pending
Eastern Ribbonsnake,Atlantic population,Threatened,2012-11-25,Thamnophis sauritus,Eastern Ribbonsnake,Atlantic population,Threatened,2005-01-12,Schedule 1,2005-01-12,Nova Scotia,Reptiles,,Added to list
Eastern Ribbonsnake,Great Lakes population,Special Concern,2012-11-25,Thamnophis sauritus,Eastern Ribbonsnake,Great Lakes population,Special Concern,2005-01-12,Schedule 1,2005-01-12,"Ontario, Quebec",Reptiles,,Added to list
Eastern Sand Darter,,Non-active,2009-11-27,Ammocrypta pellucida,Eastern Sand Darter,,No Status,2003-06-05,No schedule,,"Ontario, Quebec",Fishes (freshwater),,Added to list
Eastern Sand Darter,Ontario population,Non-active,2022-05-11,Ammocrypta pellucida,Eastern Sand Darter,Ontario populations,Threatened,,Schedule 1,2003-06-05,Ontario,Fishes (freshwater),,
Eastern Sand Darter,Quebec population,Special Concern,2022-05-11,Ammocrypta pellucida,Eastern Sand Darter,Quebec populations,Threatened,,Schedule 1,2003-06-05,Quebec,Fishes (freshwater),Status change,Pending
Eastern Sand Darter,Southwestern Ontario population,Threatened,2022-05-11,Ammocrypta pellucida,Eastern Sand Darter,Southwestern Ontario population,No Status,,No schedule,,Ontario,Fishes (freshwater),Addition,Pending
Eastern Sand Darter,West Lake population,Threatened,2022-05-11,Ammocrypta pellucida,Eastern Sand Darter,West Lake population,No Status,,No schedule,,Ontario,Fishes (freshwater),Addition,Pending
Eastern Screech-owl,,Not at Risk,1986-04-01,Megascops asio,,,No Status,,No schedule,,"Manitoba, New Brunswick, Ontario, Quebec, Saskatchewan",Birds,,
